id_stasiun,a_pm10,a_pm25,a_so2,a_co,a_o3,a_no2,a_hc,nama,kota,provinsi,p3e,time_z,index_ISPU,tanggal,Waktu
SAMARINDA,20.67,6.96,6.56,2776.75,53.25,68.96,5.88,Samarinda Taman Segiri,Samarinda,Kalimantan Timur,KALIMANTAN,WITA,43.0,2024-02-27,12:00:00
KABUPATEN_BULUNGAN,6.98,5.58,5.58,1488.81,23.48,15.5,38.23,Kabupaten Bulungan Tj. Selor Hilir,Kabupaten Bulungan,Kalimantan Utara,KALIMANTAN,WIB,42.0,2024-02-27,11:00:00
KENDARI,19.57,8.13,6.53,2611.47,36.87,67.3,31.4,Kendari Mandonga,Kendari,Sulawesi Tenggara,SULAWESI_MALUKU,WITA,42.0,2024-02-27,12:00:00
BALIKPAPAN,10.19,10.29,39.58,885.08,55.98,53.58,37.88,Balikpapan Sepinggan,Balikpapan,Kalimantan Timur,KALIMANTAN,WIB,42.0,2024-02-27,12:00:00
KABUPATEN_TANJUNGJABUNGTIMUR,11.94,11.33,39.92,2049.17,47.0,45.4,38.12,Kabupaten Tanjabtim Muara Sabak,Kabupaten Tanjung Jabung Timur,Jambi,SUMATERA,WIB,42.0,2024-02-27,11:00:00
AMBON,8.4,6.88,30.75,1305.56,7.58,12.62,33.73,Ambon Gong Perdamaian,Ambon,Maluku,SULAWESI_MALUKU,WIT,37.0,2024-02-27,13:00:00
PAPUA,8.15,9.96,38.6,0.0,212.0,49.35,12.02,Jayapura Abepura,Jayapura,Papua,PAPUA,WIT,37.0,2024-02-27,13:00:00
PALU,20.79,6.27,10.46,1366.4,9.42,24.56,30.52,Palu Panca Bhakti,Palu,Sulawesi Tengah,SULAWESI_ MALUKU,WITA,34.0,2024-02-27,12:00:00
MATARAM,12.4,10.56,26.96,921.5,17.96,14.46,3.3,Mataram Sekarbela,Mataram,Nusa Tenggara Barat,BALI DAN NUSA TENGGARA,WITA,34.0,2024-02-27,11:00:00
KUPANG,7.29,8.31,35.33,674.79,2.71,,27.81,Kupang Eltari,Kupang,Nusa Tenggara Timur,BALI DAN NUSA TENGGARA,WITA,34.0,2024-02-27,11:00:00
BANJARMASIN,0.0,7.79,14.08,596.12,42.83,38.17,12.04,Banjarmasin Kayu Tangi,Banjarmasin,Kalimantan Selatan,KALIMANTAN,WITA,25.0,2024-02-27,12:00:00
